EventId,EventTemplate,,,,,,,,,
E1,############################## _getSysMsgList,,,,,,,,,
E27,"[CardDAVPlugin-ERROR] -getPrincipalInfo:[_controller supportsRequestCompressionAtURL:<*>] Error Domain=NSURLErrorDomain Code=<*> ""The request timed out."" UserInfo={NSUnderlyingError=<*> {Error Domain=kCFErrorDomainCFNetwork Code=<*> ""The request timed out."" UserInfo={NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorCodeKey=<*>, _kCFStreamErrorDomainKey=<*>, NSLocalizedDescription=The request timed out.}}, NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorDomainKey=<*>, _kCFStreamErrorCodeKey=<*>, NSLocalizedDescription=The request timed out.}",,,,,,,,,
E28,[com.apple.calendar.store.log.caldav.coredav] [Refusing to parse response to PROPPATCH because of content-type: [text/html; charset=UTF-<*>].],,,,,,,,,
E29,[com.apple.calendar.store.log.caldav.queue] [Account <*> timed out when executing operation: <CalDAVAccountRefreshQueueableOperation: <*>; Sequence: <*>>],,,,,,,,,
E30,"[com.apple.calendar.store.log.caldav.queue] [Account refresh failed with error: Error Domain=CoreDAVHTTPStatusErrorDomain Code=<*> ""(null)"" UserInfo={AccountName=<*>, CalDAVErrFromRefresh=YES, CoreDAVHTTPHeaders=<CFBasicHash <*> [<*>]>{type = immutable dict, count = <*>, entries => <*> : Connection = <CFString <*> [<*>]>{contents = ""keep-alive""} <*> : Content-Type = text/html <*> : Content-Length = <*> <*> : Server = nginx <*> : Date = <CFString <*> [<*>]>{contents = ""<*> <*> <*>:<*>:<*> GMT""} } }]",,,,,,,,,
E31,[com.apple.calendar.store.log.caldav.queue] [Adding [<CalDAVAccountRefreshQueueableOperation: <*>; Sequence: <*>>] to failed operations.],,,,,,,,,
E32,[HID] [ATC] [Error] AppleDeviceManagementHIDEventService::start Could not make a string from out connection notification key,,,,,,,,,
E33,[HID] [ATC] AppleDeviceManagementHIDEventService::processWakeReason Wake reason: Host (<*>),,,,,,,,,
E34,[HID] [MT] AppleActuatorHIDEventDriver::start entered,,,,,,,,,c
E35,[HID] [MT] AppleMultitouchDevice::start entered,,,,,,,,,c
E36,[HID] [MT] AppleMultitouchDevice::willTerminate entered,,,,,,,,,c
E37,[HID] [MT] MTActuatorManagement::getActuatorRef Calling MTActuatorOpen() outside of MTTrackpadHIDManager.,,,,,,,,,c
E38,[IOBluetoothFamily][staticBluetoothTransportShowsUp] -- Received Bluetooth Controller register service notification -- <*>,,,,,,,,,
E39,[IOBluetoothHostController::setConfigState] calling registerService,,,,,,,,,c
E40,-[ISGenerateImageOp generateImageWithCompletion:] Failed to composit image for descriptor <ISBindingImageDescriptor: <*>>.,,,,,,,,,
E41,-[NETClientConnection effectiveBundleID] using process name apsd as bundle ID (this is expected for daemons without bundle ID,,,,,,,,,c
E42,-[NETClientConnection effectiveBundleID] using process name CalendarAgent as bundle ID (this is expected for daemons without bundle ID,,,,,,,,,c
E43,-[NETClientConnection evaluateCrazyIvan46] CI46 - Perform CrazyIvan46! <*>.<*> <*> <*>:<*>,,,,,,,,,"dg,dv"
E44,-[NetworkAnalyticsEngine _writeJournalRecord:fromCellFingerprint:key:atLOI:ofKind:lqm:isFaulty:] Hashing of the primary key failed. Dropping the journal record.,,,,,,,,,c
E45,"[QL] No sandbox token for request <QLThumbnailRequest vmware-usbarb-<*>.log>, it will probably fail",,,,,,,,,
E46,-[SFLListManager(ServiceReplyProtocol) notifyChanges:toListWithIdentifier:] Notified of item changes to list with identifier com.apple.LSSharedFileList.RecentApplications,,,,,,,,,c
E47,-[SOAPParser:<*> parser:didStartElement:namespaceURI:qualifiedName:attributes:] Type not found in EWSItemType for ExchangePersonIdGuid (t:ExchangePersonIdGuid),,,,,,,,,
E48,-[UABestAppSuggestionManager notifyBestAppChanged:type:options:bundleIdentifier:activityType:dynamicIdentifier:when:confidence:deviceName:deviceIdentifier:deviceType:] (null) UASuggestedActionType=<*> (null)/(null) opts=(null) when=<*>,,,,,,,,,c
E49,__<*>-[NETClientConnection <*>]_block_invoke CI46 - Hit by torpedo! <*>.<*> tc<*> <*>:<*>,,,,,,,,,"dg,dv"
E50,__<*>-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value <*>,,,,,,,,,
E51,<*>(<*>) deny mach-lookup com.apple.networking.captivenetworksupport,,,,,,,,,
E52,<*>(<*>) deny network-outbound /private/var/run/mDNSResponder,,,,,,,,,
E53,<*>/<*>/<*> <*>:<*>:<*>.<*> | I | VoipWrapper  | DAVEngineImpl.cpp:<*>:Close             | close video chat. llFriendUIN = <*><*>.,,,,,,,,,
E54,<*>::<*> - intel_rp = <*> dlla_reporting_supported = <*>,,,,,,,,,
E55,<*>::<*> - retries = <*>,,,,,,,,,
E56,<*>::<*>::postMessage bssid changed,,,,,,,,,
E57,<*>::prePCIWake - power up complete - took <*> us,,,,,,,,,
E58,<*>::setAwdlAutoMode Resuming AWDL,,,,,,,,,
E59,<*>::setAwdlOperatingMode Setting the AWDL operation mode from AUTO to SUSPENDED,,,,,,,,,
E60,<*>::setAwdlOperatingMode Setting the AWDL operation mode from SUSPENDED to AUTO,,,,,,,,,
E61,"<*>::setAwdlSuspendedMode() Suspending AWDL, enterQuietMode(true)",,,,,,,,,bl
E62,<*>:<*>:<*>.<*> : BTLE discovered device with hash <<*> <*> <*>>,,,,,,,,,"dg,cv,dv"
E63,<*>:<*>:<*>.<*> : BTLE scanner Powered Off,,,,,,,,,"dg,dv"
E64,<*>:<*>:<*>.<*> : BTLE scanner Powered On,,,,,,,,,"dg,dv"
E65,<*>:<*>:<*>.<*> : BTLE scanning started,,,,,,,,,"dg,dv"
E66,<*>:<*>:<*>.<*> : BTLE scanning stopped,,,,,,,,,"dg,dv"
E67,<*>:<*>:<*>.<*> : Discoverable mode changed to Off,,,,,,,,,"dg,dv"
E68,<*>:<*>:<*>.<*> : Finished generating hashes,,,,,,,,,"dg,dv"
E69,<*>:<*>:<*>.<*> : Purged contact hashes,,,,,,,,,"dg,dv"
E70,<*>:<*>:<*>.<*> : Scanning mode Contacts Only,,,,,,,,,"dg,dv"
E71,<*>:<*>:<*>.<*> : Started generating hashes,,,,,,,,,"dg,dv"
E72,<*>:<*>:<*>.<*> : Starting AirDrop server for user <*> on wake,,,,,,,,,"dg,dv"
E73,<*>:<*>:<*>.<*> ERROR:    <*>: timed out after <*>.<*> (<*> <*>); mMajorChangePending=<*>,,,,,,,,,"dg,dv"
E74,<*>-_continuousScroll is deprecated for NSScrollWheel. Please use -hasPreciseScrollingDeltas.,,,,,,,,,
E75,<*>_unlink_ifa: IPv6 address <*> has no prefix,,,,,,,,,
E76,<*>-<*>-<*> <*>:<*>:<*>.<*> GoogleSoftwareUpdateAgent[<*>/<*>] [lvl=<*>] -[KSAgentApp performSelfUpdateWithEngine:] Checking for self update with Engine: <KSUpdateEngine:<*> ticketStore=<KSPersistentTicketStore:<*> store=<KSKeyedPersistentStore:<*> path=<*> lockFile=<KSLockFile:<*> path=<*> locked=NO > >> processor=<KSActionProcessor:<*> delegate=<KSUpdateEngine:<*>> isProcessing=NO actionsCompleted=<*> progress=<*>.<*> errors=<*> currentActionErrors=<*> events=<*> currentActionEvents=<*> actionQueue=( ) > delegate=(null) serverInfoStore=<KSServerPrivateInfoStore:<*> path=<*> errors=<*> >,,,,,,,,,"dg,dv"
E77,"<*>-<*>-<*> <*>:<*>:<*>.<*> GoogleSoftwareUpdateAgent[<*>/<*>] [lvl=<*>] -[KSAgentApp updateProductWithProductID:usingEngine:] Checking for updates for ""com.google.Keystone"" using engine <KSUpdateEngine:<*> ticketStore=<KSPersistentTicketStore:<*> store=<KSKeyedPersistentStore:<*> path=""<*>"" lockFile=<KSLockFile:<*> path=""<*>"" locked=NO > >> processor=<KSActionProcessor:<*> delegate=<KSUpdateEngine:<*>> isProcessing=NO actionsCompleted=<*> progress=<*>.<*> errors=<*> currentActionErrors=<*> events=<*> currentActionEvents=<*> actionQueue=( ) > delegate=(null) serverInfoStore=<KSServerPrivateInfoStore:<*> path=""<*>""> errors=<*> >",,,,,,,,,"dg,dv"
E78,<*>-<*>-<*> <*>:<*>:<*>.<*> GoogleSoftwareUpdateAgent[<*>/<*>] [lvl=<*>] -[KSAgentApp(KeystoneDelegate) updateEngineFinishedWithErrors:] Keystone finished: errors=<*>,,,,,,,,,"dg,dv"
E79,<*>-<*>-<*> <*>:<*>:<*>.<*> GoogleSoftwareUpdateAgent[<*>/<*>] [lvl=<*>] -[KSAgentApp(KeystoneThread) runKeystonesInThreadWithArg:] About to run checks for any other apps.,,,,,,,,,"dg,dv"
E80,"<*>-<*>-<*> <*>:<*>:<*>.<*> GoogleSoftwareUpdateAgent[<*>/<*>] [lvl=<*>] -[KSAgentApp(KeystoneThread) runKeystonesInThreadWithArg:] Checking with local engine: <KSUpdateEngine:<*> ticketStore=<KSPersistentTicketStore:<*> store=<KSKeyedPersistentStore:<*> path=""<*>"" lockFile=<KSLockFile:<*> path=""<*>"" locked=NO > >> processor=<KSActionProcessor:<*> delegate=<KSUpdateEngine:<*>> isProcessing=NO actionsCompleted=<*> progress=<*>.<*> errors=<*> currentActionErrors=<*> events=<*> currentActionEvents=<*> actionQueue=( ) > delegate=(null) serverInfoStore=<KSServerPrivateInfoStore:<*> path=<*> errors=<*> >",,,,,,,,,"dg,dv"
E81,<*>-<*>-<*> <*>:<*>:<*>.<*> GoogleSoftwareUpdateAgent[<*>/<*>] [lvl=<*>] -[KSMultiUpdateAction performAction] KSPromptAction had no updates to apply.,,,,,,,,,"dg,dv"
E82,<*>-<*>-<*> <*>:<*>:<*>.<*> GoogleSoftwareUpdateAgent[<*>/<*>] [lvl=<*>] -[KSOmahaServer updateInfosForUpdateResponse:updateRequest:infoStore:upToDateTickets:updatedTickets:events:errors:] Response passed CUP validation.,,,,,,,,,"dg,dv"
E83,"<*>-<*>-<*> <*>:<*>:<*>.<*> GoogleSoftwareUpdateAgent[<*>/<*>] [lvl=<*>] -[KSOutOfProcessFetcher beginFetchWithDelegate:] KSOutOfProcessFetcher fetching from URL: ""<*>""",,,,,,,,,"dg,dv"
E84,"<*>-<*>-<*> <*>:<*>:<*>.<*> GoogleSoftwareUpdateAgent[<*>/<*>] [lvl=<*>] -[KSOutOfProcessFetcher beginFetchWithDelegate:] KSOutOfProcessFetcher start fetch from URL: ""<*>""",,,,,,,,,"dg,dv"
E85,"<*>-<*>-<*> <*>:<*>:<*>.<*> GoogleSoftwareUpdateAgent[<*>/<*>] [lvl=<*>] -[KSOutOfProcessFetcher(PrivateMethods) helperDidTerminate:] KSOutOfProcessFetcher fetch ended for URL: ""<*>""",,,,,,,,,"dg,dv"
E86,<*>-<*>-<*> <*>:<*>:<*>.<*> GoogleSoftwareUpdateAgent[<*>/<*>] [lvl=<*>] -[KSOutOfProcessFetcher(PrivateMethods) launchedHelperTaskForToolPath:error:] KSOutOfProcessFetcher launched '/Users/xpc/Library/Google/GoogleSoftwareUpdate/GoogleSoftwareUpdate.bundle/Contents/MacOS/ksfetch' with process id: <*>,,,,,,,,,"dg,dv"
E87,<*>-<*>-<*> <*>:<*>:<*>.<*> GoogleSoftwareUpdateAgent[<*>/<*>] [lvl=<*>] -[KSPrefetchAction performAction] KSPrefetchAction no updates to prefetch.,,,,,,,,,"dg,dv"
E88,<*>-<*>-<*> <*>:<*>:<*>.<*> GoogleSoftwareUpdateAgent[<*>/<*>] [lvl=<*>] -[KSUpdateCheckAction performAction] KSUpdateCheckAction starting update check for ticket(s): {( <KSTicket:<*> productID=<*> version=<*> xc=<KSPathExistenceChecker:<*> path=<*> serverType=Omaha url=<*> creationDate=<*>-<*>-<*> <*>:<*>:<*> tagPath=<*> tagKey=KSChannelID brandPath=<*> brandKey=KSBrandID versionPath=<*> versionKey=KSVersion cohort=<*>:<*>: cohortName=Stable ticketVersion=<*> > )} Using server: <KSOmahaServer:<*> engine=<KSUpdateEngine:<*>> >,,,,,,,,,"dg,dv"
E89,<*>-<*>-<*> <*>:<*>:<*>.<*> GoogleSoftwareUpdateAgent[<*>/<*>] [lvl=<*>] -[KSUpdateCheckAction performAction] KSUpdateCheckAction starting update check for ticket(s): {( <KSTicket:<*> productID=<*> version=<*> xc=<KSPathExistenceChecker:<*> path=<*> url=<*> creationDate=<*>-<*>-<*> <*>:<*>:<*> ticketVersion=<*> > )} Using server: <KSOmahaServer:<*> engine=<KSUpdateEngine:<*>> >,,,,,,,,,"dg,dv"
E90,"<*>-<*>-<*> <*>:<*>:<*>.<*> GoogleSoftwareUpdateAgent[<*>/<*>] [lvl=<*>] -[KSUpdateEngine updateAllExceptProduct:] KSUpdateEngine updating all installed products, except:'com.google.Keystone'.",,,,,,,,,"dg,dv"
E91,"<*>-<*>-<*> <*>:<*>:<*>.<*> GoogleSoftwareUpdateAgent[<*>/<*>] [lvl=<*>] +[KSCodeSigningVerification verifyBundle:applicationId:error:] KSCodeSigningVerification verifying code signing for '/Users/xpc/Library/Google/GoogleSoftwareUpdate/GoogleSoftwareUpdate.bundle/Contents/MacOS/GoogleSoftwareUpdateDaemon' with the requirement 'anchor apple generic and certificate <*>[field.<*>.<*>] exists and certificate leaf[field.<*>.<*>] exists and certificate leaf[subject.OU]=""<*>"" and (identifier=""com.google.Keystone"")'",,,,,,,,,"dg,dv"
E92,<*>-<*>-<*> <*>:<*>:<*>.<*> ksfetch[<*>/<*>] [lvl=<*>] KSHelperReceiveAllData() KSHelperTool read <*> bytes from stdin.,,,,,,,,,"dg,dv"
E93,<*>-<*>-<*> <*>:<*>:<*>.<*> ksfetch[<*>/<*>] [lvl=<*>] main() Fetcher is exiting.,,,,,,,,,"dg,dv"
E94,<*>-<*>-<*> <*>:<*>:<*>.<*> ksfetch[<*>/<*>] [lvl=<*>] main() Fetcher received a request: <NSMutableURLRequest: <*>> { URL: <*> },,,,,,,,,"dg,dv"
E95,<*>-<*>-<*> <*>:<*>:<*>.<*> ksfetch[<*>/<*>] [lvl=<*>] main() ksfetch done fetching.,,,,,,,,,"dg,dv"
E96,<*>-<*>-<*> <*>:<*>:<*>.<*> ksfetch[<*>/<*>] [lvl=<*>] main() ksfetch fetching URL (<NSMutableURLRequest: <*>> { URL: <*> }) to folder:<*>,,,,,,,,,"dg,dv"
E97,<*>-<*>-<*> <*>:<*>:<*>.<*> PM [AirPlayUIAgent] BecomingInactive: NSWorkspaceWillSleepNotification,,,,,,,,,"dg,dv"
E98,<*>-deviceDeltaY is deprecated for NSScrollWheel. Please use -scrollingDeltaY.,,,,,,,,,
E99,"<<<< FigByteStream >>>> FigByteStreamStatsLogOneRead: ByteStream read of <*> bytes @ <*> took <*>.<*> <*> to complete, <*> reads >= <*> sec.",,,,,,,,,"dg,dv"
E100,<<<< MediaValidator >>>> mv_<*>: Unrecognized codec <*>.(null). Failed codec specific check.,,,,,,,,,
E101,<<<< MediaValidator >>>> mv_LookupCodecSupport: Unrecognized codec <*>,,,,,,,,,
E102,<IMMacNotificationCenterManager: <*>>:    NC Disabled: NO,,,,,,,,,
E103,<IMMacNotificationCenterManager: <*>>:   DND Enabled: NO,,,,,,,,,
E104,<IMMacNotificationCenterManager: <*>>:   DND Enabled: YES,,,,,,,,,
E105,<IMMacNotificationCenterManager: <*>>: notification observer: com.apple.FaceTime   notification: __CFNotification <*> {name = _NSDoNotDisturbEnabledNotification},,,,,,,,,
E106,<IMMacNotificationCenterManager: <*>>: Updating enabled: NO   (Topics: ( )),,,,,,,,,
E107,<IMMacNotificationCenterManager: <*>>: Updating enabled: YES   (Topics: (<*>)),,,,,,,,,
E108,after trim url = https://www.google.com/_/chrome/newtab?rlz=<*>_<*>&espv=<*>&ie=UTF-<*>,,,,,,,,,"dg,dr"
E109,AirPort: Link Down on awdl0. Reason <*> (Unspecified).,,,,,,,,,
E110,AirPort: Link Down on en0. Reason <*> (Disassociated because station leaving).,,,,,,,,,
E111,AirPort: Link Up on awdl0,,,,,,,,,c
E112,AirPort: Link Up on en0,,,,,,,,,c
E113,AppleActuatorDevice::start Entered,,,,,,,,,c
E114,AppleActuatorDevice::stop Entered,,,,,,,,,c
E115,AppleActuatorDeviceUserClient::start Entered,,,,,,,,,c
E116,AppleActuatorDeviceUserClient::stop Entered,,,,,,,,,c
E117,AppleActuatorHIDEventDriver: message service is terminated,,,,,,,,,c
E118,AppleActuatorHIDEventDriver: stop,,,,,,,,,c
E119,AppleCamIn::handleWakeEvent_gated,,,,,,,,,c
E120,AppleCamIn::systemWakeCall - messageType = <*>,,,,,,,,,
E121,AppleCamIn::wakeEventHandlerThread,,,,,,,,,c
E122,AppleThunderboltGenericHAL::earlyWake - complete - took <*> milliseconds,,,,,,,,,
E123,"arp_client_transmit(<*>) failed, Network is down (<*>)",,,,,,,,,
E124,ARPT: <*>.<*>: AirPort_<*>::platformWoWEnable: WWEN[disable],,,,,,,,,"dg,dv"
E125,ARPT: <*>.<*>: AirPort_<*>::platformWoWEnable: WWEN[enable],,,,,,,,,"dg,dv"
E126,ARPT: <*>.<*>: AirPort_<*>::powerChange: System Sleep,,,,,,,,,"dg,dv"
E127,ARPT: <*>.<*>: AirPort_<*>::powerChange: System Wake - Full Wake/ Dark Wake / Maintenance wake,,,,,,,,,"dg,dv"
E128,ARPT: <*>.<*>: AirPort_<*>::syncPowerState: WWEN[enabled],,,,,,,,,"dg,dv"
E129,ARPT: <*>.<*>: AQM agg params <*> maxlen hi/lo <*> <*> minlen <*> adjlen <*>,,,,,,,,,"dg,dv"
E130,ARPT: <*>.<*>: AQM agg results <*> len hi/lo: <*> <*> BAbitmap(<*>-<*>) <*>,,,,,,,,,"dg,dv"
E131,ARPT: <*>.<*>: ARPT: Wake Reason: Wake on Scan offload,,,,,,,,,"dg,dv"
E132,ARPT: <*>.<*>: ARPT: Wake Reason: Wake on TCP Timeout,,,,,,,,,"dg,dv"
E133,ARPT: <*>.<*>: framerdy <*> bmccmd <*> framecnt <*>,,,,,,,,,"dg,dv"
E134,"ARPT: <*>.<*>: IOPMPowerSource Information: onSleep,  SleepType: Normal Sleep,  'ExternalConnected': No, 'TimeRemaining': <*>,",,,,,,,,,"dg,dv"
E135,"ARPT: <*>.<*>: IOPMPowerSource Information: onSleep,  SleepType: Normal Sleep,  'ExternalConnected': Yes, 'TimeRemaining': <*>,",,,,,,,,,"dg,dv"
E136,"ARPT: <*>.<*>: IOPMPowerSource Information: onSleep,  SleepType: Standby,  'ExternalConnected': No, 'TimeRemaining': <*>,",,,,,,,,,"dg,dv"
E137,"ARPT: <*>.<*>: IOPMPowerSource Information: onWake,  SleepType: Normal Sleep,  'ExternalConnected': No, 'TimeRemaining': <*>,",,,,,,,,,"dg,dv"
E138,"ARPT: <*>.<*>: IOPMPowerSource Information: onWake,  SleepType: Normal Sleep,  'ExternalConnected': Yes, 'TimeRemaining': <*>,",,,,,,,,,"dg,dv"
E139,ARPT: <*>.<*>: wl0: leaveModulePoweredForOffloads: Wi-Fi will stay on.,,,,,,,,,"dg,dv"
E140,"ARPT: <*>.<*>: wl0: MDNS: <*> SRV Recs, <*> TXT Recs",,,,,,,,,"dg,dv"
E141,ARPT: <*>.<*>: wl0: MDNS: IPV4 Addr: <*>,,,,,,,,,"dg,dv"
E142,ARPT: <*>.<*>: wl0: MDNS: IPV6 Addr: <*>,,,,,,,,,"dg,dv"
E143,"ARPT: <*>.<*>: wl0: Roamed or switched channel, reason #<*>, bssid <*>:<*>:<*><*>:<*>, last RSSI <*>",,,,,,,,,"dg,dv"
E144,"ARPT: <*>.<*>: wl0: setup_keepalive: interval <*>, retry_interval <*>, retry_count <*>",,,,,,,,,"dg,dv"
E145,ARPT: <*>.<*>: wl0: setup_keepalive: Local IP: <*>,,,,,,,,,"dg,dv"
E146,"ARPT: <*>.<*>: wl0: setup_keepalive: Local port: <*>, Remote port: <*>",,,,,,,,,"dg,dv"
E147,ARPT: <*>.<*>: wl0: setup_keepalive: Remote IP: <*>,,,,,,,,,"dg,dv"
E148,"ARPT: <*>.<*>: wl0: setup_keepalive: Seq: <*>, Ack: <*>, Win size: <*>",,,,,,,,,"dg,dv"
E149,"ARPT: <*>.<*>: wl0: wl_update_tcpkeep_seq: Original Seq: <*>, Ack: <*>, Win size: <*>",,,,,,,,,"dg,dv"
E150,"ARPT: <*>.<*>: wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq <*>, Ack <*>, Win size <*>",,,,,,,,,"dg,dv"
E151,ARPT: <*>.<*>: wlc_dump_aggfifo:,,,,,,,,,"dg,dv"
E152,"Arranged view frame: {{<*>, <*>}, {<*>, <*>}}",,,,,,,,,
E153,ASL Sender Statistics,,,,,,,,,c
E154,assertion failed: <*> [<*>-<*>-<*>-<*>-<*>]: <*>,,,,,,,,,
E155,ASSERTION FAILED: dvcAddrRef != ((void *)<*>) -[DriverServices getDeviceAddress:] line: <*>,,,,,,,,,
E156,"bitmap_size <*>, previewSize <*>, writing <*> pages @ <*>",,,,,,,,,
E157,Bluetooth -- LE is supported - Disable LE meta event,,,,,,,,,c
E158,"booter start at <*> ms smc <*> ms, [<*>, <*>, <*>] total <*> ms, dsply <*>, <*> ms, tramp <*> ms",,,,,,,,,
E159,BuildActDeviceEntry enter,,,,,,,,,c
E160,BuildActDeviceEntry exit,,,,,,,,,c
E161,button report: <*>,,,,,,,,,
E162,Captive: [CNInfoNetworkActive:<*>] en0: SSID 'CalVisitor' making interface primary (cache indicates network not captive),,,,,,,,,
E163,Captive: CNPluginHandler en0: Authenticated,,,,,,,,,c
E164,Captive: CNPluginHandler en0: Evaluating,,,,,,,,,c
E165,Captive: CNPluginHandler en0: Inactive,,,,,,,,,c
E166,"CCDataTap::profileRemoved, Owner: <*>, Name: <*>",,,,,,,,,
E167,CCFile::captureLog,,,,,,,,,c
E168,"CCFile::captureLog Received Capture notice id: <*>, reason = RoamFail:sts:<NUM>_rsn:<NUM>",,,,,,,,,
E169,"CCFile::captureLog Received Capture notice id: <*>, reason = AssocFail:sts:<NUM>_rsn:<NUM>",,,,,,,,,
E170,"CCFile::captureLog Received Capture notice id: <*>, reason = DeauthInd:sts:<NUM>_rsn:<NUM>",,,,,,,,,
E171,"CCFile::captureLog Received Capture notice id: <*>, reason = AuthFail:sts:<NUM>_rsn:<NUM>",,,,,,,,,
E172,"CCFile::captureLogRun Skipping current file Dir file [<*>-<*>-<*>_<*>,<*>,<*>.<*>]-<*>, Current File [<*>-<*>-<*>_<*>,<*>,<*>.<*>]-<*>",,,,,,,,,
E173,CCFile::captureLogRun() Exiting CCFile::captureLogRun,,,,,,,,,c
E174,"CCFile::copyFile fileName is [<*>-<*>-<*>_<*>,<*>,<*>.<*>]-<*>, source path:<*>, dest path:<*>",,,,,,,,,"dg,dr,dv"
E175,CCIOReporterFormatter::addRegistryChildToChannelDictionary streams <*>,,,,,,,,,
E176,CCIOReporterFormatter::refreshSubscriptionsFromStreamRegistry clearing out any previous subscriptions,,,,,,,,,c
E177,"CCLogTap::profileRemoved, Owner: com.apple.iokit.<*>, Name: <*>",,,,,,,,,
E178,CCProfileMonitor::freeResources done,,,,,,,,,c
E179,CCProfileMonitor::setStreamEventHandler,,,,,,,,,c
E180,CCXPCService::setStreamEventHandler Registered for notification callback.,,,,,,,,,c
E181,Central manager is not powered on,,,,,,,,,c
E182,CFNetwork SSLHandshake failed (<*>),,,,,,,,,
E183,"CFPasteboardRef CFPasteboardCreate(CFAllocatorRef, CFStringRef) : failed to create global data",,,,,,,,,c
E184,CGXDisplayDidWakeNotification [<*>]: posting kCGSDisplayDidWake,,,,,,,,,
E185,Checking iCDP status for DSID <*> (checkWithServer=<*>),,,,,,,,,
E186,ChromeExistion main isUndetectWithCommand = <*>,,,,,,,,,
